,피부고민,정도,성분명,성분 설명
52,안티에이징,훌륭함,꿀,꽃이 피는 식물의 과즙에서 벌이 만드는 물질.
53,안티에이징,훌륭함,나비콩꽃추출물,"나비콩꽃추출물은 피부 진정 성분으로, 노화 방지에 유익한 화합물을 함유한다. 이 꽃의 천연 색상은 연보라색에서 짙은 푸른색의 색조를 낼 수 있다."
54,안티에이징,훌륭함,나이아신,"나이아신은 비타민 B3의 두 가지 유형 중 하나이며, 다른 하나는 나이아신아마이드이다."
55,안티에이징,훌륭함,나이아신아마이드,"모공의 크기를 눈에 띄게 줄여주고, 칙칙하고 고르지 못한 피부 톤을 개선해주며, 주름을 옅게 해주는 데 도움을 준다. 또한 피부 장벽 강화 및 수분 공급을 촉진한다."
56,안티에이징,훌륭함,납작파래추출물,납작파래추출물은 녹조류에서 추출한 추출물이다.
57,안티에이징,훌륭함,노르다이하이드로구아이아레틱애씨드,
58,안티에이징,훌륭함,녹차,연구에 따르면 녹차 잎이나 추출물의 국소 적용은 피부에 노화 방지 특성을 비롯한 많은 이점을 준다고 한다.
59,안티에이징,훌륭함,녹차추출물,최소한으로 가공된 녹차의 새싹과 잎에서 추출된다. 
60,안티에이징,훌륭함,니코티닉애씨드,"니코티닉애씨드는 비타민 B3의 두 가지 유형 중 하나이며, 다른 하나는 나이아신아마이드이다."
61,안티에이징,훌륭함,니코틴아마이드,"노화 방지 및 모공 축소 성분으로, 나이아신아마이드 또는 비타민 B3로 더 잘 알려져 있다."
62,안티에이징,훌륭함,님,Azadirachta Indica(님)의 추출물 형태는 항산화 및 피부 진정 효과가 있으며 피부 표면의 유해한 미생물 개체 수를 줄이는데 도움을 준다. 
63,안티에이징,훌륭함,다발방패버섯추출물,
64,안티에이징,훌륭함,다이드제인,"다이드제인은 콩 식품에 풍부한 항산화제이며, 피부에 바를 시 다양한 노화 방지 효과를 제공한다."
65,안티에이징,훌륭함,다이팔미토일하이드록시프롤린,"이 성분은 펩타이드 혼합물로, 피부 자체의 콜라겐을 지원하여 피부와 입술의 탄력을 강화하고 잔주름을 줄여준다."
66,안티에이징,훌륭함,다이펩타이드-2,"다이펩타이드-2는 합성 단사슬(Short-chain) 펩타이드로, 피부 컨디셔닝 및 회복 효과를 제공하며 부은 눈을 눈에 띄게 가라앉혀주는 역할 또한 할 수 있다."
67,안티에이징,훌륭함,달맞이꽃오일,"무향의 식물성 오일로, 이 오일의 지방산은 상당한 피부 진정 및 연화 효과를 준다."
68,안티에이징,훌륭함,당근씨오일,"연화제로 사용되는 식물성 오일로, 다른 무향의 식물성 오일과 유사하다."
69,안티에이징,훌륭함,당호박,"스쿼시(호박) 일종의 추출물로, 항산화제인 카로티노이드의 매우 좋은 공급원이다."
70,안티에이징,훌륭함,당호박씨추출물,"당호박씨추출물은 스쿼시(호박) 일종의 추출물로, 항산화제인 카로티노이드의 매우 좋은 공급원이다."
71,안티에이징,훌륭함,돌콩스테롤,스테롤은 동물과 식물에서 추출한 고체의 복합성 알코올이다.
72,안티에이징,훌륭함,돌콩오일,"돌콩오일은 무향의 식물성 오일로, 피부에 여러 용도로 사용할 수 있다."
73,안티에이징,훌륭함,돌콩추출물,"돌콩추출물은 다재다능한 천연 추출물로, 고르지 않은 피부톤, 탄력 손실, 주름을 효과적으로 개선할 수 있는 강력한 항산화제로 구성되어 있으며 환경적인 유해 요소로부터 피부를 보호하는 데 도움을 준다."
74,안티에이징,훌륭함,동백나무꽃추출물,"식물 기반 성분으로(Tsubaki, 츠바키 라고도 함), 항산화, 오염 방지 및 진정 능력이 입증되었다."
75,안티에이징,훌륭함,두날리엘라 살리나추출물,"두날리엘라 살리나는 미세조류의 일종으로, 적응력이 뛰어나 혹독한 자연 환경에도 살아남을 수 있다고 알려져 있으며 베타-카로틴의 풍부한 공급원이다."
76,안티에이징,훌륭함,드럼스틱씨오일,"무향의 식물성 오일. 여러 항산화제, 비타민을 함유한다."
77,안티에이징,훌륭함,디에칠아미노하이드록시벤조일헥실벤조에이트,
78,안티에이징,훌륭함,딜추출물,피부 회복력을 향상시키고 항산화제로 작용할 수 있다는 연구 결과가 있다. 민감해진 피부를 진정시키는 데도 효과적이다.
79,안티에이징,훌륭함,땅꽈리추출물,강력한 진정 효과가 있다.
80,안티에이징,훌륭함,라미나리아 오크롤레우카추출물,다시마(켈프)의 한 종류이다. 피부 진정에 도움을 주고 수분 공급을 촉진하는 수분 결합 특성이 있다.
81,안티에이징,훌륭함,라이신,아미노산.
82,안티에이징,훌륭함,라이신에이치씨엘,피부에 수분을 공급해준다. 피부가 매끄럽고 어려 보이도록 도와주는 역할을 한다.
83,안티에이징,훌륭함,라이코펜,강력한 항산화 특성을 가진 카로티노이드 색소.
84,안티에이징,훌륭함,라즈베리,레드라즈베리(Red Raspberry)라고도 알려진 이 추출물은 국소 적용 시 항산화 효과를 제공하며 피부 변색과 탄력 상실을 일으키는 피부의 효소를 억제할 수 있다.
85,안티에이징,훌륭함,라즈베리추출물,레드라즈베리(Red Raspberry)라고도 알려진 이 추출물은 국소 적용 시 항산화 효과를 제공하며 피부 변색과 탄력 상실을 일으키는 피부의 효소를 억제할 수 있다.
86,안티에이징,훌륭함,라즈베리추출물,레드라즈베리(Red Raspberry)라고도 알려진 이 추출물은 국소 적용 시 항산화 효과를 제공하며 피부 변색과 탄력 상실을 일으키는 피부의 효소를 억제할 수 있다.
87,안티에이징,훌륭함,락틱애씨드,우유에서 자연적으로 추출하거나 합성해 만들 수 있다. 피부 표면에서 각질을 제거해 주름을 줄여주고 변색된 피부를 옅어지게 한다.
88,안티에이징,훌륭함,레드호그위드뿌리추출물,"피부 진정 항산화제이며, 아미노산 같은 추가적인 유익한 화합물을 전달한다. 고르지 못한 피부 톤을 개선해준다.  "
89,안티에이징,훌륭함,레스베라트롤,진정 작용을 하는 항산화제. 변색을 최소화해주고 다른 노화의 징후를 예방해준다.
90,안티에이징,훌륭함,레티놀,"레티놀은 가장 잘 알려진 노화 방지 성분 중 하나이며 강력한 성분으로, 피부에 여러 가지 이점을 제공하며 가시적인 결과를 선사하기 위해 다양한 농도로 사용된다."
91,안티에이징,훌륭함,레티닐레티노에이트,합성 레티놀. 레티놀계의 새로운 세대라고 할 수 있다. 피부 노화의 징후를 회복하고 개선하는 데 유용하다는 연구 결과가 있다.
92,안티에이징,훌륭함,레티닐아스코베이트,항산화제 역할을 하는 비타민 A(레티노익애씨드)와 비타민 C(아스코빅애씨드)의 에스터이다.
93,안티에이징,훌륭함,레티닐팔미테이트,순수 비타민 A인 레티놀과 지방산 팔미틱애씨드의 결합. 피부에 바르면 항산화 효과가 있다고 입증되었다.
94,안티에이징,훌륭함,레틴알,
95,안티에이징,훌륭함,로우스위트블루베리추출물,
96,안티에이징,훌륭함,로즈힙,"식물이며, 피부에 잠재적인 항산화 및 노화 방지 효과가 있다."
97,안티에이징,훌륭함,로즈힙,
98,안티에이징,훌륭함,로즈힙씨오일,
99,안티에이징,훌륭함,로즈힙씨추출물,
100,안티에이징,훌륭함,로즈힙열매오일,
